"","start_polygon_name","end_polygon_name","sum_flow","start_lat","start_lon","end_lat","end_lon","year","distance","scaled_flow"
"43","Ciudad De México","Chihuahua",6053,19.432608,-99.133209,29.1311275214993,-106.3118593721,"2022","100+",0.0011458393970416
"44","Ciudad De México","Coahuila de Zaragoza",2003,19.432608,-99.133209,26.7949741578241,-101.975023914153,"2022","100+",0.00037790135997086
"45","Ciudad De México","Durango",231,19.432608,-99.133209,24.3035492280202,-104.822453878012,"2022","100+",4.1904766961144e-05
"46","Ciudad De México","Guanajuato",10257,19.432608,-99.133209,20.9053709526542,-101.226602762383,"2022","100+",0.00194297804095404
"47","Ciudad De México","Guerrero",26919,19.432608,-99.133209,17.5924676290449,-99.8426517023182,"2022","100+",0.0051023320097621
"48","Ciudad De México","Hidalgo",13567,19.432608,-99.133209,20.3474475919965,-98.8890938366973,"2022","100+",0.0025706014737205
"49","Ciudad De México","Jalisco",22618,19.432608,-99.133209,20.6077225967628,-103.556494744175,"2022","100+",0.00428680077582599
"50","Ciudad De México","Michoacán de Ocampo",6674,19.432608,-99.133209,19.441889263023,-101.697122235715,"2022","100+",0.00126358989605911
"51","Ciudad De México","México",3914,19.432608,-99.133209,19.4320808529297,-99.4869983829332,"2022","100+",0.000740254344870164
"52","Ciudad De México","Nuevo León",15546,19.432608,-99.133209,25.6182744359417,-100.085560913226,"2022","100+",0.00294584823306938
"53","Ciudad De México","Oaxaca",8961,19.432608,-99.133209,17.0022208340518,-96.5186516496221,"2022","100+",0.0016972378690914
"54","Ciudad De México","Puebla",24838,19.432608,-99.133209,19.0679957359027,-97.9741628380397,"2022","100+",0.00470774458873884
"55","Ciudad De México","Querétaro de Arteaga",38563,19.432608,-99.133209,20.7153070091145,-100.071177193948,"2022","100+",0.00731020126992302
"56","Ciudad De México","Quintana Roo",8753,19.432608,-99.133209,19.9653880457915,-87.7604355077889,"2022","100+",0.00165779808842209
"57","Ciudad De México","San Luis Potosí",4430,19.432608,-99.133209,22.4107210746818,-100.644807700447,"2022","100+",0.000838095339222881
"58","Ciudad De México","Sinaloa",1596,19.432608,-99.133209,24.8295252687659,-107.51015781757,"2022","100+",0.000300728327603504
"59","Ciudad De México","Sonora",3139,19.432608,-99.133209,29.5226830659126,-110.767449375095,"2022","100+",0.000593303239010949
"60","Ciudad De México","Tabasco",2792,19.432608,-99.133209,17.9904017878718,-92.7342005575439,"2022","100+",0.000527507066452048
"61","Ciudad De México","Tamaulipas",298,19.432608,-99.133209,24.9412251729694,-98.8336498208372,"2022","100+",5.46089270805859e-05
"62","Ciudad De México","Tlaxcala",4552,19.432608,-99.133209,19.3956700867502,-98.1803365096967,"2022","100+",0.000861228287500073
"63","Ciudad De México","Veracruz de Ignacio de la Llave",15012,19.432608,-99.133209,19.568558054487,-96.576055549123,"2022","100+",0.00284459418077413
"64","Ciudad De México","Yucatán",5154,19.432608,-99.133209,20.8392244784167,-89.0283508537204,"2022","100+",0.000975376114244909
"65","Ciudad De México","Zacatecas",4649,19.432608,-99.133209,23.2665015212226,-102.700239425622,"2022","100+",0.000879620877523743
