"","start_polygon_name","end_polygon_name","start_lat","start_lon","end_lat","end_lon","sum_flow","year","distance","scaled_flow"
"43","Buenos Aires","Presidente Perón",-34.6037,-58.3816,-34.9413016638738,-58.4203375569447,107662,"2022","<100",0.314340860048647
"44","Buenos Aires","San Antonio de Areco",-34.6037,-58.3816,-34.2344810087592,-59.5027822818396,65,"2022","<100",0.000160598477526433
"45","Buenos Aires","San Vicente",-34.6037,-58.3816,-35.0871627820986,-58.4413845034248,2995,"2022","<100",0.00871611737120732
"46","Buenos Aires","Tigre",-34.6037,-58.3816,-34.3812660133119,-58.6144279658052,190459,"2022","<100",0.556105808116939
"47","Buenos Aires","Zárate",-34.6037,-58.3816,-34.0217591540001,-59.1408195499672,602,"2022","<100",0.00172862361264815
"48","Buenos Aires","Azul",-34.6037,-58.3816,-36.8092523647105,-59.853515625,169,"2022","100+",0.000464275598667325
"49","Buenos Aires","Bahía Blanca",-34.6037,-58.3816,-38.7540503680945,-62.314453125,32,"2022","100+",6.42393910105732e-05
"50","Buenos Aires","Baradero",-34.6037,-58.3816,-33.7973776063447,-59.501953125,150,"2022","100+",0.000408796124612739
"51","Buenos Aires","Baradero",-34.6037,-58.3816,-33.7973776063447,-59.501953125,37,"2022","100+",7.88392526038853e-05
"52","Buenos Aires","Baradero",-34.6037,-58.3816,-33.7973776063447,-59.501953125,194,"2022","100+",0.000537274906633885
"53","Buenos Aires","Baradero",-34.6037,-58.3816,-33.7973776063447,-59.501953125,282,"2022","100+",0.000794232470676178
"54","Buenos Aires","Bragado",-34.6037,-58.3816,-35.1019023435126,-60.556640625,20,"2022","100+",2.91997231866242e-05
"55","Buenos Aires","Carmen de Areco",-34.6037,-58.3816,-34.3796811645573,-59.853515625,145,"2022","100+",0.000394196263019427
"56","Buenos Aires","Castellanos",-34.6037,-58.3816,-31.2785209462092,-61.435546875,14,"2022","100+",1.16798892746497e-05
"57","Buenos Aires","Chascomús",-34.6037,-58.3816,-35.5318948142852,-58.0415287450452,679,"2022","100+",0.00195346148118516
"58","Buenos Aires","Chivilcoy",-34.6037,-58.3816,-34.9579636548894,-60.029296875,270,"2022","100+",0.000759192802852229
"59","Buenos Aires","Concordia",-34.6037,-58.3816,-31.428633123637,-58.095703125,28,"2022","100+",5.25595017359235e-05
"60","Buenos Aires","Corrientes",-34.6037,-58.3816,-27.4497627536925,-58.798828125,14,"2022","100+",1.16798892746497e-05
"61","Buenos Aires","Córdoba",-34.6037,-58.3816,-31.428633123637,-64.248046875,83,"2022","100+",0.000213157979262357
"62","Buenos Aires","Dolores",-34.6037,-58.3816,-36.3327657527181,-57.744140625,10,"2022","100+",0
"63","Buenos Aires","General Belgrano",-34.6037,-58.3816,-35.8177811696397,-58.447265625,77,"2022","100+",0.000195638145350382
"64","Buenos Aires","General Juan Madariaga",-34.6037,-58.3816,-37.2302959140406,-57.041015625,70,"2022","100+",0.000175198339119745
"65","Buenos Aires","General López",-34.6037,-58.3816,-33.7973776063447,-61.962890625,22,"2022","100+",3.5039667823949e-05
"66","Buenos Aires","General Pueyrredón",-34.6037,-58.3816,-38.0174331619883,-57.6035742987366,67,"2022","100+",0.000166438422163758
"67","Buenos Aires","General Pueyrredón",-34.6037,-58.3816,-38.0174331619883,-57.6035742987366,18,"2022","100+",2.33597785492994e-05
"68","Buenos Aires","General Pueyrredón",-34.6037,-58.3816,-38.0174331619883,-57.6035742987366,3543,"2022","100+",0.0103162622018343
"69","Buenos Aires","General Pueyrredón",-34.6037,-58.3816,-38.0174331619883,-57.6035742987366,10,"2022","100+",0
"70","Buenos Aires","Gualeguaychú",-34.6037,-58.3816,-33.0638933759986,-58.4931216032609,24,"2022","100+",4.08796124612739e-05
"71","Buenos Aires","Gualeguaychú",-34.6037,-58.3816,-33.0638933759986,-58.4931216032609,263,"2022","100+",0.000738752996621592
"72","Buenos Aires","Junín",-34.6037,-58.3816,-33.8645145348903,-62.12109375,167,"2022","100+",0.00045843565403
"73","Buenos Aires","La Costa",-34.6037,-58.3816,-36.6058633126061,-56.689453125,146,"2022","100+",0.000397116235338089
"74","Buenos Aires","La Costa",-34.6037,-58.3816,-36.6058633126061,-56.689453125,1070,"2022","100+",0.00309517065778216
"75","Buenos Aires","La Costa",-34.6037,-58.3816,-36.6058633126061,-56.689453125,76,"2022","100+",0.00019271817303172
"76","Buenos Aires","Pergamino",-34.6037,-58.3816,-33.9433287203044,-60.556640625,149,"2022","100+",0.000405876152294076
"77","Buenos Aires","Pinamar",-34.6037,-58.3816,-37.0902073740524,-56.865234375,116,"2022","100+",0.000309517065778216
"78","Buenos Aires","Rosario",-34.6037,-58.3816,-32.9989547358845,-60.723038943909,91,"2022","100+",0.000236517757811656
"79","Buenos Aires","Rosario",-34.6037,-58.3816,-32.9989547358845,-60.723038943909,1708,"2022","100+",0.00495811299708879
"80","Buenos Aires","Saladillo",-34.6037,-58.3816,-35.6751155003079,-59.853515625,269,"2022","100+",0.000756272830533567
"81","Buenos Aires","San Antonio de Areco",-34.6037,-58.3816,-34.2344810087592,-59.5027822818396,104,"2022","100+",0.000274477397954267
"82","Buenos Aires","San Nicolás",-34.6037,-58.3816,-33.3580306522315,-60.205078125,388,"2022","100+",0.00110374953645439
"83","Buenos Aires","San Pedro",-34.6037,-58.3816,-33.713429550024,-59.7119626741622,91,"2022","100+",0.000236517757811656
"84","Buenos Aires","San Pedro",-34.6037,-58.3816,-33.713429550024,-59.7119626741622,595,"2022","100+",0.00170818380641752
"85","Buenos Aires","Tandil",-34.6037,-58.3816,-37.3701246668074,-59.150390625,96,"2022","100+",0.000251117619404968
"86","Buenos Aires","Uruguay",-34.6037,-58.3816,-32.4726644879946,-58.271484375,40,"2022","100+",8.75991695598726e-05
